model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,weight_error_pct,activation_error_pct,non_torch_error_pct,kv_cache_error_pct
deepseek-ai/DeepSeek-V2-Lite-Chat,H100-80GB,1,1,1,8192,auto,,auto,-0.5776418620455255,,,-11.511121302453557
deepseek-ai/DeepSeek-V2-Lite-Chat,H100-80GB,2,1,1,8192,auto,,auto,-1.3486176668914316,,,0.5668733392382644
deepseek-ai/DeepSeek-V2-Lite-Chat,H100-80GB,4,1,1,8192,auto,,auto,-2.6631158455392834,,,3.703122548250442
RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,2,1,1,8192,auto,,auto,-0.11806375442738827,,,5.042918454935609
RedHatAI/Llama-3.3-70B-Instruct-fp8-dynamic,H100-80GB,4,1,1,8192,auto,,auto,-0.23584905660376854,,,5.897578110556475
ibm-granite/granite-3.1-2b-instruct,H100-80GB,1,1,1,8192,auto,,auto,-0.421940928270052,,,-5.268475750577376
ibm-granite/granite-3.1-2b-instruct,H100-80GB,2,1,1,8192,auto,,auto,-0.8403361344537823,,,0.44298370963132644
ibm-granite/granite-3.1-8b-instruct,H100-80GB,4,1,1,8192,auto,,auto,-1.8087855297157693,,,2.6758297996783127
ibm-granite/granite-3.3-8b-instruct,H100-80GB,1,1,1,8192,auto,,auto,-0.19672131147540564,,,-6.017729287419015
ibm-granite/granite-3.3-8b-instruct,H100-80GB,2,1,1,8192,auto,,auto,-0.39267015706805447,,,0.5876894525208934
ibm-granite/granite-3.3-8b-instruct,H100-80GB,4,1,1,8192,auto,,auto,-1.8087855297157693,,,2.6758297996783127
ibm-granite/granite-vision-3.3-2b,H100-80GB,1,1,1,8192,auto,,auto,0.0,,,-1.2235979606700704
ibm-granite/granite-vision-3.3-2b,H100-80GB,2,1,1,8192,auto,,auto,-0.7168458781362014,,,2.6164462334675003
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,bfloat16,,fp8,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,bfloat16,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,float16,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,float32,,auto,-50.100066711140755,,,31.051401869158894
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,2048,auto,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,4096,auto,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,auto,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,2,1,8192,auto,,auto,-0.3994673768308836,,,-0.8566275924256197
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,4,1,8192,auto,,auto,-12.206572769953041,,,1.59025787965616
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,2,1,1,8192,auto,,auto,-0.3994673768308836,,,2.7603513174403984
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,4,1,1,8192,auto,,auto,-0.795755968169756,,,4.478054567022532
meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,32768,auto,,auto,-0.20013342228151673,,,-3.476165892273268
meta-llama/Llama-4-Scout-17B-16E-Instruct,H100-80GB,4,1,1,8192,auto,,auto,-4.762801204819266,,,36.179104477611936
microsoft/phi-4,H100-80GB,1,1,1,8192,auto,,auto,-0.29207740051114217,,,-6.597222222222221
microsoft/phi-4,H100-80GB,2,1,1,8192,auto,,auto,-0.8714596949891011,,,1.9526524969759853
mistralai/Mistral-Small-3.1-24B-Instruct-2503,H100-80GB,1,1,1,8192,auto,,auto,-0.08936550491510087,,,1.5608371763036457
mistralai/Mistral-Small-3.1-24B-Instruct-2503,H100-80GB,2,1,1,8192,auto,,auto,-1.9298245614035143,,,7.159114421684257
mistralai/Mistral-Small-3.1-24B-Instruct-2503,H100-80GB,4,1,1,8192,auto,,auto,-5.733558178752106,,,7.451841838458945
mistralai/Mixtral-8x7B-Instruct-v0.1,H100-80GB,2,1,1,8192,auto,,auto,-0.022983222247754564,,,-1.8987341772151993
mistralai/Mixtral-8x7B-Instruct-v0.1,H100-80GB,4,1,1,8192,auto,,auto,-0.04595588235294836,,,2.4191949236565513
moonshotai/Kimi-Dev-72B,H100-80GB,2,1,1,8192,auto,,auto,-0.16219404305514515,,,61.920529801324484
moonshotai/Kimi-Dev-72B,H100-80GB,4,1,1,8192,auto,,auto,-0.44104675095559714,,,9.313725490196083
moonshotai/Kimi-VL-A3B-Instruct,H100-80GB,1,1,1,8192,auto,,auto,-0.5855562784645404,,,-9.753146176185869
moonshotai/Kimi-VL-A3B-Instruct,H100-80GB,2,1,1,8192,auto,,auto,-1.6097875080489377,,,2.4461482292807526
openai/gpt-oss-20b,H100-80GB,4,1,1,8192,auto,,auto,-11.845730027548202,,,5.4529067147363826
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,8192,bfloat16,,fp8,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-72B-Instruct,H100-80GB,2,1,1,8192,auto,,auto,-0.13274336283186344,,,60.855263157894726
Qwen/Qwen2.5-72B-Instruct,H100-80GB,4,1,1,8192,auto,,auto,-0.35314891112418323,,,9.254218835057154
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,8192,bfloat16,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,8192,float16,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,16384,auto,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,32768,auto,,auto,-0.42105263157895084,,,-4.220058089868441
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,2048,auto,,auto,-0.42105263157895084,,,-4.220058089868441
